id_pdl,date,consommation_kwh,zone
PDL-000001,2024-03-30,12.1,Coteaux-Ouest
PDL-000001,2024-03-31,13.29,Coteaux-Ouest
PDL-000001,2024-04-01,15.1,Coteaux-Ouest
PDL-000001,2024-04-02,13.26,Coteaux-Ouest
PDL-000001,2024-04-03,10.48,Coteaux-Ouest
PDL-000001,2024-04-04,12.76,Coteaux-Ouest
PDL-000001,2024-04-05,10.35,Coteaux-Ouest
PDL-000001,2024-04-06,10.86,Coteaux-Ouest
PDL-000001,2024-04-07,10.84,Coteaux-Ouest
PDL-000001,2024-04-08,12.54,Coteaux-Ouest
PDL-000001,2024-04-09,11.9,Coteaux-Ouest
PDL-000001,2024-04-10,11.5,Coteaux-Ouest
PDL-000001,2024-04-11,10.3,Coteaux-Ouest
PDL-000001,2024-04-12,7.98,Coteaux-Ouest
PDL-000001,2024-04-13,15.09,Coteaux-Ouest
PDL-000001,2024-04-14,9,Coteaux-Ouest
PDL-000001,2024-04-15,9.22,Coteaux-Ouest
PDL-000001,2024-04-16,8.83,Coteaux-Ouest
PDL-000001,2024-04-17,13.35,Coteaux-Ouest
PDL-000001,2024-04-18,9.14,Coteaux-Ouest
PDL-000001,2024-04-19,9.42,Coteaux-Ouest
PDL-000001,2024-04-20,10.86,Coteaux-Ouest
PDL-000001,2024-04-21,11.94,Coteaux-Ouest
PDL-000001,2024-04-22,9.17,Coteaux-Ouest
PDL-000001,2024-04-23,10.2,Coteaux-Ouest
PDL-000001,2024-04-24,14.4,Coteaux-Ouest
PDL-000001,2024-04-25,11.63,Coteaux-Ouest
PDL-000001,2024-04-26,10.24,Coteaux-Ouest
PDL-000001,2024-04-27,7.54,Coteaux-Ouest
PDL-000001,2024-04-28,7.03,Coteaux-Ouest
PDL-000001,2024-04-29,10.77,Coteaux-Ouest
PDL-000001,2024-04-30,10.3,Coteaux-Ouest
PDL-000001,2024-05-01,9.58,Coteaux-Ouest
PDL-000001,2024-05-02,11.43,Coteaux-Ouest
PDL-000001,2024-05-03,7.2,Coteaux-Ouest
PDL-000001,2024-05-04,8.89,Coteaux-Ouest
PDL-000001,2024-05-05,7.58,Coteaux-Ouest
PDL-000001,2024-05-06,7.83,Coteaux-Ouest
PDL-000001,2024-05-07,10.94,Coteaux-Ouest
PDL-000001,2024-05-08,8.07,Coteaux-Ouest
PDL-000001,2024-05-09,7.91,Coteaux-Ouest
PDL-000001,2024-05-10,7.05,Coteaux-Ouest
PDL-000001,2024-05-11,8.4,Coteaux-Ouest
PDL-000001,2024-05-12,8.82,Coteaux-Ouest
PDL-000001,2024-05-13,8.02,Coteaux-Ouest
PDL-000001,2024-05-14,7.59,Coteaux-Ouest
PDL-000001,2024-05-15,7.69,Coteaux-Ouest
PDL-000001,2024-05-16,9.82,Coteaux-Ouest
PDL-000001,2024-05-17,6.43,Coteaux-Ouest
PDL-000001,2024-05-18,7.91,Coteaux-Ouest
PDL-000001,2024-05-19,8.19,Coteaux-Ouest
PDL-000001,2024-05-20,6.9,Coteaux-Ouest
PDL-000001,2024-05-21,6.97,Coteaux-Ouest
PDL-000001,2024-05-22,8.54,Coteaux-Ouest
PDL-000001,2024-05-23,10.45,Coteaux-Ouest
PDL-000001,2024-05-24,7.58,Coteaux-Ouest
PDL-000001,2024-05-25,8.2,Coteaux-Ouest
PDL-000001,2024-05-26,7.85,Coteaux-Ouest
PDL-000001,2024-05-27,7.49,Coteaux-Ouest
PDL-000001,2024-05-28,7.5,Coteaux-Ouest
PDL-000001,2024-05-29,7.21,Coteaux-Ouest
PDL-000001,2024-05-30,6.99,Coteaux-Ouest
PDL-000001,2024-05-31,7.11,Coteaux-Ouest
PDL-000001,2024-06-01,,Coteaux-Ouest
PDL-000001,2024-06-02,8.67,Coteaux-Ouest
PDL-000001,2024-06-03,7.61,Coteaux-Ouest
PDL-000001,2024-06-04,8.13,Coteaux-Ouest
PDL-000001,2024-06-05,7.41,Coteaux-Ouest
PDL-000001,2024-06-06,7.13,Coteaux-Ouest
PDL-000001,2024-06-07,7.44,Coteaux-Ouest
PDL-000001,2024-06-08,,Coteaux-Ouest
PDL-000001,2024-06-09,7.42,Coteaux-Ouest
PDL-000001,2024-06-10,7.95,Coteaux-Ouest
PDL-000001,2024-06-11,7.37,Coteaux-Ouest
PDL-000001,2024-06-12,10.3,Coteaux-Ouest
PDL-000001,2024-06-13,7.79,Coteaux-Ouest
PDL-000001,2024-06-14,6.91,Coteaux-Ouest
PDL-000001,2024-06-15,7.95,Coteaux-Ouest
PDL-000001,2024-06-16,7.94,Coteaux-Ouest
PDL-000001,2024-06-17,7.82,Coteaux-Ouest
PDL-000001,2024-06-18,7.59,Coteaux-Ouest
PDL-000001,2024-06-19,7.53,Coteaux-Ouest
PDL-000001,2024-06-20,7.44,Coteaux-Ouest
PDL-000001,2024-06-21,,Coteaux-Ouest
PDL-000001,2024-06-22,6.83,Coteaux-Ouest
PDL-000001,2024-06-23,6.99,Coteaux-Ouest
PDL-000001,2024-06-24,7.16,Coteaux-Ouest
PDL-000001,2024-06-25,7.23,Coteaux-Ouest
PDL-000001,2024-06-26,6.36,Coteaux-Ouest
PDL-000001,2024-06-27,7.36,Coteaux-Ouest
PDL-000001,2024-06-28,7.27,Coteaux-Ouest
PDL-000001,2024-06-29,8.61,Coteaux-Ouest
PDL-000001,2024-06-30,7.59,Coteaux-Ouest
PDL-000001,2024-07-01,7.53,Coteaux-Ouest
PDL-000001,2024-07-02,-8.16,Coteaux-Ouest
PDL-000001,2024-07-03,8.72,Coteaux-Ouest
PDL-000001,2024-07-04,,Coteaux-Ouest
PDL-000001,2024-07-05,7.14,Coteaux-Ouest
PDL-000001,2024-07-06,8.11,Coteaux-Ouest
PDL-000001,2024-07-07,7.78,Coteaux-Ouest
PDL-000001,2024-07-08,6.31,Coteaux-Ouest
PDL-000001,2024-07-09,7.62,Coteaux-Ouest
PDL-000001,2024-07-10,7.14,Coteaux-Ouest
PDL-000001,2024-07-11,6.61,Coteaux-Ouest
PDL-000001,2024-07-12,6.98,Coteaux-Ouest
PDL-000001,2024-07-13,7.95,Coteaux-Ouest
PDL-000001,2024-07-14,7.88,Coteaux-Ouest
PDL-000001,2024-07-15,7.06,Coteaux-Ouest
PDL-000001,2024-07-16,6.69,Coteaux-Ouest
PDL-000001,2024-07-17,7.72,Coteaux-Ouest
PDL-000001,2024-07-18,7.18,Coteaux-Ouest
PDL-000001,2024-07-19,7.68,Coteaux-Ouest
PDL-000001,2024-07-20,7.79,Coteaux-Ouest
PDL-000001,2024-07-21,8.21,Coteaux-Ouest
PDL-000001,2024-07-22,6.92,Coteaux-Ouest
PDL-000001,2024-07-23,7.37,Coteaux-Ouest
PDL-000001,2024-07-24,7.63,Coteaux-Ouest
PDL-000001,2024-07-25,6.98,Coteaux-Ouest
PDL-000001,2024-07-26,7.16,Coteaux-Ouest
PDL-000001,2024-07-27,8.24,Coteaux-Ouest
PDL-000001,2024-07-28,8.21,Coteaux-Ouest
PDL-000001,2024-07-29,7.03,Coteaux-Ouest
PDL-000001,2024-07-30,7.73,Coteaux-Ouest
PDL-000001,2024-07-31,,Coteaux-Ouest
PDL-000001,2024-08-01,7.84,Coteaux-Ouest
PDL-000001,2024-08-02,6.9,Coteaux-Ouest
PDL-000001,2024-08-03,7.49,Coteaux-Ouest
PDL-000001,2024-08-04,8.38,Coteaux-Ouest
PDL-000001,2024-08-05,8.06,Coteaux-Ouest
PDL-000001,2024-08-06,7.67,Coteaux-Ouest
PDL-000001,2024-08-07,7.72,Coteaux-Ouest
PDL-000001,2024-08-08,7.02,Coteaux-Ouest
PDL-000001,2024-08-09,7.63,Coteaux-Ouest
PDL-000001,2024-08-10,7.98,Coteaux-Ouest
PDL-000001,2024-08-11,7.14,Coteaux-Ouest
PDL-000001,2024-08-12,8.72,Coteaux-Ouest
PDL-000001,2024-08-13,6.88,Coteaux-Ouest
PDL-000001,2024-08-14,7.27,Coteaux-Ouest
PDL-000001,2024-08-15,7.33,Coteaux-Ouest
PDL-000001,2024-08-16,7.87,Coteaux-Ouest
PDL-000001,2024-08-17,7.92,Coteaux-Ouest
PDL-000001,2024-08-18,8.08,Coteaux-Ouest
PDL-000001,2024-08-19,7.26,Coteaux-Ouest
PDL-000001,2024-08-20,8.19,Coteaux-Ouest
PDL-000001,2024-08-21,6.73,Coteaux-Ouest
PDL-000001,2024-08-22,7.54,Coteaux-Ouest
PDL-000001,2024-08-23,6.86,Coteaux-Ouest
PDL-000001,2024-08-24,8.13,Coteaux-Ouest
PDL-000001,2024-08-25,7.75,Coteaux-Ouest
PDL-000001,2024-08-26,8.26,Coteaux-Ouest
PDL-000001,2024-08-27,7.24,Coteaux-Ouest
PDL-000001,2024-08-28,7.61,Coteaux-Ouest
PDL-000001,2024-08-29,7.41,Coteaux-Ouest
PDL-000001,2024-08-30,7.1,Coteaux-Ouest
PDL-000001,2024-08-31,7.99,Coteaux-Ouest
PDL-000001,2024-09-01,7.69,Coteaux-Ouest
PDL-000001,2024-09-02,7.72,Coteaux-Ouest
PDL-000001,2024-09-03,7,Coteaux-Ouest
PDL-000001,2024-09-04,7.83,Coteaux-Ouest
PDL-000001,2024-09-05,8.02,Coteaux-Ouest
PDL-000001,2024-09-06,8.7,Coteaux-Ouest
PDL-000001,2024-09-07,8.21,Coteaux-Ouest
PDL-000001,2024-09-08,8.82,Coteaux-Ouest
PDL-000001,2024-09-09,7.71,Coteaux-Ouest
PDL-000001,2024-09-10,6.81,Coteaux-Ouest
PDL-000001,2024-09-11,7.82,Coteaux-Ouest
PDL-000001,2024-09-12,8.74,Coteaux-Ouest
PDL-000001,2024-09-13,7.17,Coteaux-Ouest
PDL-000001,2024-09-14,9.9,Coteaux-Ouest
PDL-000001,2024-09-15,7.97,Coteaux-Ouest
PDL-000001,2024-09-16,8.73,Coteaux-Ouest
PDL-000001,2024-09-17,7.28,Coteaux-Ouest
PDL-000001,2024-09-18,8.39,Coteaux-Ouest
PDL-000001,2024-09-19,8.08,Coteaux-Ouest
PDL-000001,2024-09-20,8.96,Coteaux-Ouest
PDL-000001,2024-09-21,7.31,Coteaux-Ouest
PDL-000001,2024-09-22,10.87,Coteaux-Ouest
PDL-000001,2024-09-23,8.84,Coteaux-Ouest
PDL-000001,2024-09-24,6.82,Coteaux-Ouest
PDL-000001,2024-09-25,7.12,Coteaux-Ouest
PDL-000001,2024-09-26,8.91,Coteaux-Ouest
PDL-000001,2024-09-27,8.82,Coteaux-Ouest
PDL-000001,2024-09-28,7.69,Coteaux-Ouest
PDL-000001,2024-09-29,9.59,Coteaux-Ouest
PDL-000001,2024-09-30,9.91,Coteaux-Ouest
PDL-000001,2024-10-01,7.41,Coteaux-Ouest
PDL-000001,2024-10-02,7.8,Coteaux-Ouest
PDL-000001,2024-10-03,9.08,Coteaux-Ouest
PDL-000001,2024-10-04,10.66,Coteaux-Ouest
PDL-000001,2024-10-05,9.27,Coteaux-Ouest
PDL-000001,2024-10-06,8.66,Coteaux-Ouest
PDL-000001,2024-10-07,11.85,Coteaux-Ouest
PDL-000001,2024-10-08,8.63,Coteaux-Ouest
PDL-000001,2024-10-09,11.69,Coteaux-Ouest
PDL-000001,2024-10-10,8.64,Coteaux-Ouest
PDL-000001,2024-10-11,7.75,Coteaux-Ouest
PDL-000001,2024-10-12,8.27,Coteaux-Ouest
PDL-000001,2024-10-13,8.6,Coteaux-Ouest
PDL-000001,2024-10-14,10.12,Coteaux-Ouest
PDL-000001,2024-10-15,11.55,Coteaux-Ouest
PDL-000001,2024-10-16,9.46,Coteaux-Ouest
PDL-000001,2024-10-17,9.34,Coteaux-Ouest
PDL-000001,2024-10-18,11.67,Coteaux-Ouest
PDL-000001,2024-10-19,9.6,Coteaux-Ouest
PDL-000001,2024-10-20,13.42,Coteaux-Ouest
PDL-000001,2024-10-21,12,Coteaux-Ouest
PDL-000001,2024-10-22,9.66,Coteaux-Ouest
PDL-000001,2024-10-23,9.7,Coteaux-Ouest
PDL-000001,2024-10-24,9.93,Coteaux-Ouest
PDL-000001,2024-10-25,11.79,Coteaux-Ouest
PDL-000001,2024-10-26,10.96,Coteaux-Ouest
PDL-000001,2024-10-27,12.84,Coteaux-Ouest
PDL-000001,2024-10-28,10.61,Coteaux-Ouest
PDL-000001,2024-10-29,11.49,Coteaux-Ouest
PDL-000001,2024-10-30,,Coteaux-Ouest
PDL-000001,2024-10-31,13.41,Coteaux-Ouest
PDL-000001,2024-11-01,12.86,Coteaux-Ouest
PDL-000001,2024-11-02,10.5,Coteaux-Ouest
PDL-000001,2024-11-03,17.44,Coteaux-Ouest
PDL-000001,2024-11-04,10.8,Coteaux-Ouest
PDL-000001,2024-11-05,15.13,Coteaux-Ouest
PDL-000001,2024-11-06,10.23,Coteaux-Ouest
PDL-000001,2024-11-07,11.69,Coteaux-Ouest
PDL-000001,2024-11-08,14.23,Coteaux-Ouest
PDL-000001,2024-11-09,13.23,Coteaux-Ouest
PDL-000001,2024-11-10,14.79,Coteaux-Ouest
PDL-000001,2024-11-11,12.67,Coteaux-Ouest
PDL-000001,2024-11-12,13.89,Coteaux-Ouest
PDL-000001,2024-11-13,13.68,Coteaux-Ouest
PDL-000001,2024-11-14,14.27,Coteaux-Ouest
PDL-000001,2024-11-15,10.26,Coteaux-Ouest
PDL-000001,2024-11-16,14.63,Coteaux-Ouest
PDL-000001,2024-11-17,12.57,Coteaux-Ouest
PDL-000001,2024-11-18,14.06,Coteaux-Ouest
PDL-000001,2024-11-19,12.73,Coteaux-Ouest
PDL-000001,2024-11-20,17.49,Coteaux-Ouest
PDL-000001,2024-11-21,10.79,Coteaux-Ouest
PDL-000001,2024-11-22,15.01,Coteaux-Ouest
PDL-000001,2024-11-23,13.87,Coteaux-Ouest
PDL-000001,2024-11-24,16.08,Coteaux-Ouest
PDL-000001,2024-11-25,13.1,Coteaux-Ouest
PDL-000001,2024-11-26,13.23,Coteaux-Ouest
PDL-000001,2024-11-27,18.37,Coteaux-Ouest
PDL-000001,2024-11-28,10,Coteaux-Ouest
PDL-000001,2024-11-29,16.04,Coteaux-Ouest
PDL-000001,2024-11-30,15.98,Coteaux-Ouest
PDL-000001,2024-12-01,13.99,Coteaux-Ouest
PDL-000001,2024-12-02,12.33,Coteaux-Ouest
PDL-000001,2024-12-03,15.74,Coteaux-Ouest
PDL-000001,2024-12-04,15.5,Coteaux-Ouest
PDL-000001,2024-12-05,13.75,Coteaux-Ouest
PDL-000001,2024-12-06,13.45,Coteaux-Ouest
PDL-000001,2024-12-07,13.98,Coteaux-Ouest
PDL-000001,2024-12-08,15,Coteaux-Ouest
PDL-000001,2024-12-09,13.22,Coteaux-Ouest
PDL-000001,2024-12-10,13.19,Coteaux-Ouest
PDL-000001,2024-12-11,17.94,Coteaux-Ouest
PDL-000001,2024-12-12,18.3,Coteaux-Ouest
PDL-000001,2024-12-13,15.44,Coteaux-Ouest
PDL-000001,2024-12-14,16.71,Coteaux-Ouest
PDL-000001,2024-12-15,15.53,Coteaux-Ouest
PDL-000001,2024-12-16,13.27,Coteaux-Ouest
PDL-000001,2024-12-17,20.06,Coteaux-Ouest
PDL-000001,2024-12-18,15.16,Coteaux-Ouest
PDL-000001,2024-12-19,17.02,Coteaux-Ouest
PDL-000001,2024-12-20,16.16,Coteaux-Ouest
PDL-000001,2024-12-21,15.52,Coteaux-Ouest
PDL-000001,2024-12-22,22.63,Coteaux-Ouest
PDL-000001,2024-12-23,11.5,Coteaux-Ouest
PDL-000001,2024-12-24,12.46,Coteaux-Ouest
PDL-000001,2024-12-25,,Coteaux-Ouest
PDL-000001,2024-12-26,15.1,Coteaux-Ouest
PDL-000001,2024-12-27,15.3,Coteaux-Ouest
PDL-000001,2024-12-28,17.13,Coteaux-Ouest
PDL-000001,2024-12-29,17.57,Coteaux-Ouest
PDL-000001,2024-12-30,173.28,Coteaux-Ouest
PDL-000001,2024-12-31,13.23,Coteaux-Ouest
PDL-000001,2025-01-01,17.19,Coteaux-Ouest
PDL-000001,2025-01-02,,Coteaux-Ouest
PDL-000001,2025-01-03,14.22,Coteaux-Ouest
PDL-000001,2025-01-04,17.54,Coteaux-Ouest
PDL-000001,2025-01-05,21.08,Coteaux-Ouest
PDL-000001,2025-01-06,18.68,Coteaux-Ouest
PDL-000001,2025-01-07,17.88,Coteaux-Ouest
PDL-000001,2025-01-08,15.86,Coteaux-Ouest
PDL-000001,2025-01-09,17.49,Coteaux-Ouest
PDL-000001,2025-01-10,18.83,Coteaux-Ouest
PDL-000001,2025-01-11,19.26,Coteaux-Ouest
PDL-000001,2025-01-12,20.17,Coteaux-Ouest
PDL-000001,2025-01-13,21.12,Coteaux-Ouest
PDL-000001,2025-01-14,16.16,Coteaux-Ouest
PDL-000001,2025-01-15,16.06,Coteaux-Ouest
PDL-000001,2025-01-16,171.82,Coteaux-Ouest
PDL-000001,2025-01-17,16.71,Coteaux-Ouest
PDL-000001,2025-01-18,21.89,Coteaux-Ouest
PDL-000001,2025-01-19,14.25,Coteaux-Ouest
PDL-000001,2025-01-20,16.82,Coteaux-Ouest
PDL-000001,2025-01-21,20.85,Coteaux-Ouest
PDL-000001,2025-01-22,16.02,Coteaux-Ouest
PDL-000001,2025-01-23,14.92,Coteaux-Ouest
PDL-000001,2025-01-24,12.74,Coteaux-Ouest
PDL-000001,2025-01-25,16.58,Coteaux-Ouest
PDL-000001,2025-01-26,16.22,Coteaux-Ouest
PDL-000001,2025-01-27,17.03,Coteaux-Ouest
PDL-000001,2025-01-28,14.67,Coteaux-Ouest
PDL-000001,2025-01-29,15.35,Coteaux-Ouest
PDL-000001,2025-01-30,16.39,Coteaux-Ouest
PDL-000001,2025-01-31,17.56,Coteaux-Ouest
PDL-000001,2025-02-01,21.73,Coteaux-Ouest
PDL-000001,2025-02-02,16.78,Coteaux-Ouest
PDL-000001,2025-02-03,14.5,Coteaux-Ouest
PDL-000001,2025-02-04,265.65,Coteaux-Ouest
PDL-000001,2025-02-05,289.35,Coteaux-Ouest
PDL-000001,2025-02-06,16.42,Coteaux-Ouest
PDL-000001,2025-02-07,14.46,Coteaux-Ouest
PDL-000001,2025-02-08,14.47,Coteaux-Ouest
PDL-000001,2025-02-09,16.64,Coteaux-Ouest
PDL-000001,2025-02-10,18.87,Coteaux-Ouest
PDL-000001,2025-02-11,10.24,Coteaux-Ouest
PDL-000001,2025-02-12,17.45,Coteaux-Ouest
PDL-000001,2025-02-13,17.93,Coteaux-Ouest
PDL-000001,2025-02-14,17.37,Coteaux-Ouest
PDL-000001,2025-02-15,18.52,Coteaux-Ouest
PDL-000001,2025-02-16,15.04,Coteaux-Ouest
PDL-000001,2025-02-17,15.81,Coteaux-Ouest
PDL-000001,2025-02-18,14.6,Coteaux-Ouest
PDL-000001,2025-02-19,15.44,Coteaux-Ouest
PDL-000001,2025-02-20,16.3,Coteaux-Ouest
PDL-000001,2025-02-21,18.32,Coteaux-Ouest
PDL-000001,2025-02-22,14.87,Coteaux-Ouest
PDL-000001,2025-02-23,16.56,Coteaux-Ouest
PDL-000001,2025-02-24,15.56,Coteaux-Ouest
PDL-000001,2025-02-25,17.97,Coteaux-Ouest
PDL-000001,2025-02-26,16.79,Coteaux-Ouest
PDL-000001,2025-02-27,18.94,Coteaux-Ouest
PDL-000001,2025-02-28,15.81,Coteaux-Ouest
PDL-000001,2025-03-01,14,Coteaux-Ouest
PDL-000001,2025-03-02,15.15,Coteaux-Ouest
PDL-000001,2025-03-03,15.73,Coteaux-Ouest
PDL-000001,2025-03-04,16.06,Coteaux-Ouest
PDL-000001,2025-03-05,13.96,Coteaux-Ouest
PDL-000001,2025-03-06,18.42,Coteaux-Ouest
PDL-000001,2025-03-07,12.34,Coteaux-Ouest
PDL-000001,2025-03-08,12.31,Coteaux-Ouest
PDL-000001,2025-03-09,14.32,Coteaux-Ouest
PDL-000001,2025-03-10,13.37,Coteaux-Ouest
PDL-000001,2025-03-11,13.95,Coteaux-Ouest
PDL-000001,2025-03-12,18.28,Coteaux-Ouest
PDL-000001,2025-03-13,12.93,Coteaux-Ouest
PDL-000001,2025-03-14,12.12,Coteaux-Ouest
PDL-000001,2025-03-15,13.27,Coteaux-Ouest
PDL-000001,2025-03-16,18.46,Coteaux-Ouest
PDL-000001,2025-03-17,13.37,Coteaux-Ouest
PDL-000001,2025-03-18,10.44,Coteaux-Ouest
PDL-000001,2025-03-19,12.83,Coteaux-Ouest
PDL-000001,2025-03-20,12.73,Coteaux-Ouest
PDL-000001,2025-03-21,12.39,Coteaux-Ouest
PDL-000001,2025-03-22,9.64,Coteaux-Ouest
PDL-000001,2025-03-23,11.97,Coteaux-Ouest
PDL-000001,2025-03-24,13.28,Coteaux-Ouest
PDL-000001,2025-03-25,13.14,Coteaux-Ouest
PDL-000001,2025-03-26,12.04,Coteaux-Ouest
PDL-000001,2025-03-27,13.12,Coteaux-Ouest
PDL-000001,2025-03-28,13.14,Coteaux-Ouest
PDL-000001,2025-03-29,16.3,Coteaux-Ouest
PDL-000001,2025-03-30,15.42,Coteaux-Ouest
PDL-000001,2025-03-31,9.04,Coteaux-Ouest
PDL-000001,2025-04-01,13.71,Coteaux-Ouest
PDL-000001,2025-04-02,12.99,Coteaux-Ouest
PDL-000001,2025-04-03,13.99,Coteaux-Ouest
PDL-000001,2025-04-04,8.85,Coteaux-Ouest
PDL-000001,2025-04-05,118.17,Coteaux-Ouest
PDL-000001,2025-04-06,13.28,Coteaux-Ouest
PDL-000001,2025-04-07,9.09,Coteaux-Ouest
PDL-000001,2025-04-08,12.55,Coteaux-Ouest
PDL-000001,2025-04-09,12.07,Coteaux-Ouest
PDL-000001,2025-04-10,10.11,Coteaux-Ouest
PDL-000001,2025-04-11,12.02,Coteaux-Ouest
PDL-000001,2025-04-12,14.85,Coteaux-Ouest
PDL-000001,2025-04-13,13.01,Coteaux-Ouest
PDL-000001,2025-04-14,12.56,Coteaux-Ouest
PDL-000001,2025-04-15,10.9,Coteaux-Ouest
PDL-000001,2025-04-16,9.09,Coteaux-Ouest
PDL-000001,2025-04-17,11.25,Coteaux-Ouest
PDL-000001,2025-04-18,11.28,Coteaux-Ouest
PDL-000001,2025-04-19,12.25,Coteaux-Ouest
PDL-000001,2025-04-20,9.69,Coteaux-Ouest
PDL-000001,2025-04-21,11.3,Coteaux-Ouest
PDL-000001,2025-04-22,8.71,Coteaux-Ouest
PDL-000001,2025-04-23,9.74,Coteaux-Ouest
PDL-000001,2025-04-24,11.16,Coteaux-Ouest
PDL-000001,2025-04-25,10.6,Coteaux-Ouest
PDL-000001,2025-04-26,13.02,Coteaux-Ouest
